연도,0-19세 (유소년/청소년),20-39세 (청년층),40-59세 (중장년층),60세 이상 (고령층),총인구
2010,"1,085","1,450","1,520",770,"4,825"
2011,"1,052","1,435","1,550",805,"4,842"
2012,"1,020","1,418","1,580",845,"4,863"
2013,985,"1,400","1,610",890,"4,885"
2014,951,"1,385","1,630",935,"4,901"
2015,920,"1,370","1,650",980,"4,920"
2016,891,"1,355","1,665","1,030","4,941"
2017,863,"1,340","1,680","1,085","4,968"
2018,834,"1,320","1,690","1,140","4,984"
2019,806,"1,300","1,700","1,200","5,006"
2020,775,"1,280","1,705","1,265","5,025"
2021,748,"1,255","1,710","1,330","5,043"
2022,720,"1,230","1,700","1,400","5,050"
2023,695,"1,210","1,690","1,470","5,065"
2024,670,"1,190","1,680","1,550","5,090"
